,0,1
L0_330,0.29200461481774637,0.09912202270173935
L0_354,0.2249999729836753,-0.04893857771168664
L0_378,0.2224551309683131,-0.0245222858012795
L0_402,0.24051985041753252,0.13857841646240876
L0_426,0.11420581615828859,0.27137710860133596
L0_450,0.11505862279723691,0.31445155377295375
L2_330,0.30251072428944176,-0.1519978475277827
L2_354,0.2398852590077773,-0.23323851670609722
L2_378,0.25104696271270255,-0.1094294536022088
L2_402,0.15777162945814113,0.24556427100121467
L2_426,0.10831323541996767,0.2822029592200135
L2_450,0.10738754653967295,0.2947402393045229
L5_330,0.2919202706649461,-0.2716910885508979
L5_354,0.28703016747268667,-0.21277389084200468
L5_378,0.15569915385610417,0.1224064228432157
L5_402,0.1234916641297035,0.1654302247244194
L5_426,0.08595273763801088,0.18107952097254187
L5_450,0.07727029966695304,0.17665585581469787
L8_330,0.2751800446607236,-0.09415943859484686
L8_354,0.34358968042574956,-0.2444582770210354
L8_378,0.13247112698622998,0.2530531362701568
L8_402,0.15266523472917323,0.17244162030797278
L8_426,0.08950103344278301,0.2255294901243452
L8_450,0.08458374847600426,0.2011491100050268
