,total,N1,O2,O1N1,O1,O3,O3N1,O2N1
L0_330,421.46951809015263,367.5821803441715,350.53725199730565,349.14252815331315,399.79419921770085,456.82678494027726,534.137410099394,576.9028782430348
L0_354,445.8691380060152,393.2799629927044,371.3244708766215,396.1485691025997,412.1152947696943,506.7135251891972,539.3755497517718,573.7909408962682
L0_378,465.2468938934543,388.77871723543035,364.6799529885061,357.4204685806637,402.6106274040075,501.9823047511819,558.0564950831242,591.2793407976867
L0_402,436.6353408383623,356.0924233754958,343.1492591845052,366.890540622638,361.16517585797214,436.2419833602832,508.1721659030037,530.5434259569944
L0_426,427.07362987401336,312.7366166134059,287.43765864221245,329.08422508437764,404.10413700312796,348.0828702385639,520.4062892803886,536.6699734398499
L0_450,360.37159949212486,283.49532584873185,272.0523867144286,303.3881982211805,362.39697391558684,326.0461156327925,457.1724206349821,495.5384761367809
L2_330,376.48554682512315,334.7170311505906,352.14639980309164,337.16659545842936,392.99024498941407,439.0154842066792,557.1738717351325,471.9196913407372
L2_354,434.9601635540473,368.5653440827662,381.2539536899002,403.95746261468173,392.9348683386677,493.1582385195927,563.5657807821015,565.5653274441405
L2_378,439.39770658228827,373.4168134682607,368.7512488779229,424.5785033170424,413.70882568925856,454.376265245569,550.3610158010046,554.9674867408135
L2_402,419.3622766975817,340.06607512112635,346.4146569172828,419.1962289487833,364.4755944612365,442.05005502933534,504.88482068719657,534.2018856680078
L2_426,392.9409716302091,304.52100681949,297.07296911601156,347.5111833410283,309.57378232669856,381.51859809328613,497.07328394367715,521.6778384360584
L2_450,381.4569548609322,285.04840832238017,276.4515704683536,326.3527124709613,407.9518425361988,332.4942552581708,496.82977355224955,510.9198671075799
L5_330,441.48386198738325,385.6196994478405,409.815040733908,347.6734026635077,387.9537863975585,548.5549216901295,530.2711688249938,595.1509376764898
L5_354,434.9058054763642,377.2092486388358,395.72288750372826,350.9881413369837,381.49876247361215,549.1050632601797,481.43292668303224,592.3940772028675
L5_378,448.76869084490977,358.5428219011899,348.06749965085226,398.92283539459294,367.85623909768447,551.4843593169554,479.2093485179536,575.1770456514082
L5_402,390.5125175171174,346.3087988008087,389.6118739488078,460.86083102622655,366.5674658732954,455.89166238644265,459.0812386945658,508.61502986236906
L5_426,425.92593102496033,316.3341168251686,315.2136050454842,343.91992098476015,314.7357275033835,448.3660566094693,519.0522660632728,550.8207701560902
L5_450,426.46745047473985,300.44481063809855,305.581512467916,332.55873096852224,340.5797310243022,361.5002326808854,511.4300874330028,531.0838015081464
L8_330,449.30816576276413,350.5682265995191,409.0411838965756,354.3000565728176,522.3555760601623,445.03662686653684,575.4175441308073,570.4373073620309
L8_354,467.9755514644142,397.73001221213866,432.0402783278936,425.44387575727376,416.68863195579513,507.29386321597605,579.9801228268348,587.458174217034
L8_378,440.3254154704312,365.69185061083726,327.58280146069905,482.2467456459157,387.8489871153654,522.7090114319724,471.73340597714787,570.5878079239543
L8_402,407.3232909399623,346.9178070454251,381.17642960494027,451.9497111046884,363.3519781279437,473.49646840414806,482.14944753514476,521.2343690754191
L8_426,349.99170894973037,302.0142279151013,323.5364159261718,356.88099063629636,296.5411942990456,404.39459243681875,426.1165690239941,478.5525224162893
L8_450,329.22370302811197,288.2869839416679,308.66572036326477,327.9527941234456,289.4135270463785,346.110570038523,381.3508624697416,435.1296560381843
