,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
L0,orig,2742158818,965711436,594573888,164996738.4,464086762.8,294977937.6,119883064.8,102349330.8,77113874.4,68234344.8,38557126.8,24731900.4,9803887.2,8844103.2,3490089.6,1445992.8,0,3584646,0,0
L0,354,2750515160,753172938,500680543,174274482,474515789,328228406,134587129,117202034,90762131,82775460,59125778,21637490,21558961,15014410,3006155,1323853,0,6022976,2096226,0
L0,378,1866442682,641835685,305188553,115338557,265379077,168387812,74937123,91139209,52202360,34581435,16535928,8018737,9089648,8837965,1760358,0,0,4276225,0,0
L0,402,1347175296,529743221,287615948,58419935,100684779,57293745,36523379,48280335,52983072,40387873,57665638,35540281,53828313,45283428,27158476,22518510,11394712,13101461,4761615,0
L0,426,481312027,500004241,269590506,15687076,20640952,7511018,2994558,32338623,9408266,8835404,11075408,18100722,41444352,16977717,2436105,8022405,0,5086096,0,0
L0,450,837458567,997965447,693559048,43555262,54541248,10165352,5009367,55621765,26414442,27994105,23642876,26354888,43020768,31391838,8518304,5960431,3420767,4694134,1553218,0
L2,orig,9298466630,3345672723,1829599562,507083075.2,1931379232,1172499702,328781333.5,438523797,268369985.3,152033075.9,221256262.6,48077797,19093360.5,131037468.5,20189097.6,0,0,0,0,0
L2,354,9250392577,3515263992,1878979643,773109926,1530933943,1154399592,600928572,510843811,399699189,335120544,250312308,186371405,149927976,98260731,60805778,34862615,14294060,1434141,0,0
L2,378,5701008274,2564728658,1104246663,408292716,809637556,535006101,301382380,265304904,227397529,185370491,151921164,137658107,122235463,81679051,34355924,19522076,5064415,0,0,0
L2,402,925128518,624278318,401764956,99113791,143255037,86825670,80139065,144608836,139237109,116016344,122689716,123800061,176534827,98430041,63216908,63466172,43565610,30674698,18395436,15118154
L2,426,763953752,941225713,559164991,37255324,33593928,7412513,13544561,84161440,66620905,66455391,84899590,95030708,188267544,83732828,57583969,67723915,47254199,34771147,22523881,17116091
L2,450,1021561690,1415576328,879257598,48528886,37917734,3587019,4149399,24098569,23925431,28535814,29504100,71403473,103320172,23180798,18820562,20786169,5997536,0,0,0
L5,orig,3368400515,1806540485,1499068321,710627834,880948600,782745299,442838201,342676907,249967970,194576507,135972703,102830234,77823761,44940488,12125745,10581904,1253163,1715242,0,0
L5,354,3267053816,1685144162,1213185244,509771796,632230742,562701746,312728298,320583194,218014304,165062580,95338980,87447806,86896396,21055144,5705962,0,0,0,0,0
L5,378,2047999204,961663360,776603888,60296376,266193836,115439176,56940588,121628228,110296584,39967292,68572248,28826844,82858788,70668712,16503652,16721540,0,13987268,0,0
L5,402,342830494,144022067,156350216,39695839,73711980,43247270,96776561,167522637,158022942,109773815,122964218,129278413,195319930,104457150,80199091,76950030,53579147,40219017,22521899,12675783
L5,426,836739019,280078013,721282309,34619296,27194333,3275480,3673179,6668071,0,17267386,128611328,35156186,129496491,49257361,47851383,63096382,46060030,54027079,22542032,26288500
L5,450,1053445687,496084097,1274580629,51935640,40988790,15475462,6548755,9006349,0,7089517,74133170,59128761,156928354,44612564,34178662,60908267,43370102,29805185,10764517,8870460
L8,orig,3589095262,3203487120,3084212215,1638253603,1780661712,1554505090,1042706253,688654450.8,530242335.1,448095767.8,300757555.8,244154033.4,181106189,110688252.7,55984344.85,11986593.2,0,3364881.6,0,0
L8,354,3611520872,2961892872,2957457826,1679228218,1832157027,1573083178,993137011,633226913,476538698,393724386,272144808,217888052,166835805,108268700,71522944,37360459,6204061,8179439,0,0
L8,378,497830250,423137644,211761147,19079602,51489875,22120619,34517732,31227284,36569183,16076321,19556951,45391272,62267402,29876520,18496428,13777085,1508551,2456866,0,0
L8,402,351087762,213814479,152611891,47130967,90777939,55846079,93792465,165973536,147918969,109692469,104830782,131198568,171093217,98248180,77706976,68459649,50170159,30125705,21828335,18925804
L8,426,411581786,294405792,377777803,32106837,32645855,23279676,34653640,90671774,108894535,71793587,115196501,112250682,212679986,88651529,80609619,91185809,69251992,49653962,35404940,26432832
L8,450,624658245,543786254,663916790,46676675,52708369,9324931,22827134,54266572,44866302,39930754,78635175,94116600,171175890,54610308,52241665,58783355,40324642,27535898,19747298,17001738
