,,total,,O3N1,O2,O1N1,N1,O1,O2N1
L0,orig,353.8555496,0,286.3848039,350.537252,296.3129396,367.5821803,399.7941992,305.7613796
L0,354,376.8642024,0,325.688299,371.3244709,299.0150248,393.279963,412.1152948,310.8113252
L0,378,369.3867277,0,251.7028429,364.679953,301.6282253,388.7787172,402.6106274,313.4570822
L0,402,347.226037,0,329.1920645,343.1492592,302.3144465,356.0924234,361.1651759,318.1166673
L0,426,309.2756956,0,277.4021963,287.4376586,296.1780776,312.7366166,404.104137,314.4195223
L0,450,284.8879563,0,294.8893062,272.0523867,276.3931645,283.4953258,362.3969739,296.0251717
L2,orig,353.8249287,0,268.4254903,352.1463998,292.7940015,367.1269699,392.990245,294.0740872
L2,354,377.1326524,0,332.3043481,381.2539537,303.6391873,368.5653441,392.9348683,316.1943506
L2,378,370.4483668,0,340.2884865,368.7512489,312.6873826,373.4168135,413.7088257,322.280896
L2,402,340.9936828,0,320.7509383,346.4146569,305.0384541,340.0660751,364.4755945,312.7262057
L2,426,304.2923483,0,324.4065729,297.0729691,306.0788786,304.5210068,309.5737823,312.12567
L2,450,294.307461,0,313.418782,276.4515705,305.4656834,285.0484083,407.9518425,306.5782138
L5,orig,404.4762577,0,311.8753419,409.8150407,296.1971412,385.6196994,387.9537864,319.859464
L5,354,387.2165284,0,279.8888506,395.7228875,293.3389665,377.2092486,381.4987625,309.588089
L5,378,376.1166353,0,315.7193585,393.4651959,302.7150234,358.5428219,367.8562391,320.0059231
L5,402,350.0932832,0,325.7733429,389.6118739,303.9912487,346.3087988,366.5674659,310.8319789
L5,426,316.4199145,0,332.3511658,315.213605,312.5555149,316.3341168,314.7357275,313.8601984
L5,450,305.1436382,0,332.7129023,305.5815125,310.0240998,300.4448106,340.579731,315.8179391
L8,orig,406.8858953,0,332.0528978,409.0411839,311.3863462,396.5016769,522.3555761,323.2281592
L8,354,422.1969197,0,340.034969,432.0402783,304.3574505,397.7300122,416.688632,316.6552866
L8,378,408.3197944,0,280.8060564,428.5612519,306.2402285,365.6918506,387.8489871,315.2423544
L8,402,348.9999149,0,320.5539485,381.1764296,303.2803515,346.917807,363.3519781,311.6087949
L8,426,304.1254061,0,318.6882116,323.5364159,302.1233991,302.0142279,296.5411943,306.7855996
L8,450,295.1715642,0,320.2881041,308.6657204,299.4433685,288.2869839,289.413527,305.2852678
