,,1,2,3,4,5,6
L0,orig,1.279503908,1.272498002,1.26357425,1.259924127,1.227517617,1.189670334
L0,354,1.264179781,1.23854571,1.232848222,1.222904501,1.207173,1.173461202
L0,378,1.256627428,1.219023771,1.214239888,1.203444241,1.186777432,1.16472444
L0,402,1.32535502,1.304388705,1.305664759,1.301084623,1.287672629,1.279886876
L0,426,1.583130833,,,,,
L0,450,2.240998667,,,,,
L2,orig,1.22965494,1.195797763,1.193484092,,,
L2,354,1.265768596,1.222819817,1.206682578,1.197531181,1.178353011,1.158865919
L2,378,1.274911682,1.247541102,1.237057529,1.22954816,1.214985482,1.20404772
L2,402,1.241265252,1.216576534,1.206067847,1.196089344,1.196233895,1.18711447
L2,426,1.818999456,,,,,
L2,450,1.975455947,,,,,
L5,orig,1.254712187,1.187595686,1.163256417,1.154444951,1.130600813,1.108122231
L5,354,1.278111573,1.227029216,1.192552386,1.183453683,1.167153658,1.151418787
L5,378,1.404708641,1.575074192,1.538871288,,,
L5,402,1.344160513,1.343036398,1.30906559,,,
L5,426,2.678940874,,,,,
L5,450,3.263308533,,,,,
L8,orig,1.218556049,1.164396524,1.143676779,1.133370846,1.117399303,1.101441045
L8,354,1.229278269,1.160419036,1.13273498,1.123259623,1.097299731,1.074524787
L8,378,1.561167855,1.526157127,,,,
L8,402,1.380457561,1.589105633,1.492081493,1.442519492,1.385114663,1.349186758
L8,426,2.391013878,3.18820025,,,,
L8,450,2.54741028,,,,,
