,lda1,lda2
L0_330,-3.7094123472273726,4.640963601667502
L0_354,-1.9798443030688584,3.18641131637777
L0_378,-2.4258994840266417,4.288440165509408
L0_402,-4.005921077185867,4.444710946813125
L0_426,-1.9947356928265223,2.8768730798321727
L0_450,-2.99522758629436,3.0373587235369506
L2_330,-2.844661534658095,-3.9425743114408327
L2_354,-2.4982322131610415,-2.197364565881268
L2_378,-3.844221777865255,-6.281706178440701
L2_402,-3.1000852907890133,-3.5745851506359756
L2_426,-2.8336287129322413,-3.461599831985131
L2_450,-1.1183868908871017,-1.6435705282185546
L5_330,3.823152089799786,0.5032641732637101
L5_354,5.839298608045024,0.06842815688371773
L5_378,5.281265636648211,0.518574407876959
L5_402,4.033446797664039,0.10022652027516621
L5_426,5.730458672472837,0.4061369445713403
L5_450,4.550433085824959,0.29149718810982317
L8_330,-1.5164841989574382,0.8948037427089783
L8_354,2.107962734130062,-1.3694073751920337
L8_378,0.5514459396690224,-0.5269700563489705
L8_402,1.8992190581779411,-0.23915442004928078
L8_426,0.6352951709871955,-1.3920025816234673
L8_450,0.41476331646072184,-0.6287539676104221
