,Intercept,Coef
L0_330,1.7849331713244183,0.626974483596598
L0_354,0.5548780487804841,0.6951219512195124
L0_378,1.7286432160803962,0.6331658291457289
L0_402,-1.26640159045726,0.8031809145129226
L0_426,-0.97328244274809,0.7938931297709922
L0_450,-0.97328244274809,0.7938931297709922
L2_330,3.730809674027343,0.5089379600420608
L2_354,-0.7682242990654196,0.7700934579439251
L2_378,-0.7682242990654196,0.7700934579439251
L2_402,-0.47794117647058876,0.7794117647058824
L2_426,-2.0714285714285694,0.8571428571428571
L2_450,-0.97328244274809,0.7938931297709922
L5_330,0.23178807947020097,0.7019867549668873
L5_354,0.9396170839469793,0.6892488954344625
L5_378,0.6923076923076898,0.7051282051282053
L5_402,-0.47794117647058876,0.7794117647058824
L5_426,-0.97328244274809,0.7938931297709922
L5_450,-0.97328244274809,0.7938931297709922
L8_330,2.60144927536232,0.5797101449275361
L8_354,-0.7682242990654196,0.7700934579439251
L8_378,-0.8976377952755961,0.7716535433070869
L8_402,-0.47794117647058876,0.7794117647058824
L8_426,-1.1764705882352864,0.8235294117647055
L8_450,-1.3444676409185838,0.8267223382045931
