,,n9,n12,n15
L0,402,27.65664348,42.4578254,29.88553112
L2,330,34.65417213,39.5779466,25.76788127
L2,354,29.31085844,44.75206854,25.93707302
L2,378,32.00996766,42.61275775,25.37727458
L2,402,25.80382022,44.92891995,29.26725983
L5,330,29.83889348,43.33698975,26.82411677
L5,354,27.87688191,43.84810814,28.27500996
L5,378,21.7110784,44.45157848,33.83734313
L5,402,25.66892289,45.74054914,28.59052797
L8,330,28.74629793,42.4990086,28.75469347
L8,354,27.66588923,44.21582929,28.11828148
L8,378,20.33349775,43.42354143,36.24296082
L8,402,23.62133568,45.51778642,30.8608779
