,Intercept,Score,Coef
"1283.84, 1327.33",[0.09758798],0.34018013719272666,[[-0.37075314]]
"1284.62, 1327.33",[0.09593068],0.3260162837653995,[[-0.44005339]]
"1288.62, 1322.3",[0.14323685],0.21980182579453222,[[-0.22773857]]
"1289.62, 1322.3",[0.13492395],0.20764330637580408,[[-0.06147727]]
"1289.98, 1347.02",[0.60562448],0.26681859841869204,[[3.96181741]]
"1292.76, 1322.3",[0.13923872],0.22334824417534951,[[-0.19795536]]
"1299.02, 1301.04",[-0.00375352],0.4093458049264239,[[0.05158501]]
"1299.02, 1312.98",[-0.00067894],0.24994804766450784,[[0.08812553]]
"1299.02, 1316.24",[0.36955849],0.41631830602016384,[[-0.1937137]]
"1299.02, 1317.25",[0.09758969],0.25871387272469004,[[-0.05079179]]
"1299.02, 1320.28",[0.04879524],0.2032329959239709,[[-0.01942325]]
"1299.02, 1323.3",[0.15373257],0.23864761422749106,[[-0.06344198]]
"1299.02, 1325.04",[-0.00121786],0.31175813100108285,[[0.05543644]]
"1299.02, 1326.33",[0.44943989],0.4374229457142397,[[-0.21802983]]
"1299.02, 1332.24",[0.05832939],0.21892119551912292,[[-0.02518025]]
"1300.02, 1321.29",[0.0498661],0.31809700847700795,[[-0.08700233]]
"1300.02, 1326.33",[0.4308171],0.4405502676548796,[[-0.81220994]]
"1300.02, 1339.3",[0.05138705],0.254478020445397,[[-0.09773069]]
"1301.04, 1317.25",[0.0950514],0.37295203441320457,[[-0.71412337]]
"1301.04, 1322.3",[0.14243966],0.26805737530255846,[[-0.61607781]]
"1301.04, 1323.02",[0.44065038],0.41972246616788333,[[8.7393863]]
"1301.04, 1324.02",[0.11970986],0.3964848351633237,[[2.37254164]]
"1301.04, 1347.02",[0.44365838],0.36234358012595824,[[8.5285716]]
"1301.04, 1348.03",[0.11611265],0.28399794576510873,[[2.54865588]]
"1312.22, 1327.33",[0.06909601],0.2075290193880576,[[0.62182685]]
"1312.22, 1340.35",[0.0300578],0.23330938170143534,[[0.73901219]]
"1312.98, 1336.97",[0.01796454],0.7173531650396194,[[0.63021852]]
"1313.23, 1322.3",[0.10222083],0.27157524738731076,[[1.22892271]]
"1313.23, 1323.02",[0.74040956],0.261029959635629,[[-5.42322568]]
"1313.23, 1323.3",[0.07925465],0.2556643381297137,[[1.45788662]]
"1313.23, 1326.33",[0.2622243],0.2696176758014409,[[2.81330556]]
"1316.24, 1321.29",[0.00211566],0.29506018406980916,[[0.12888071]]
"1316.24, 1322.3",[0.02149752],0.43587762231941435,[[0.39489567]]
"1316.24, 1323.02",[1.04293156],0.3547920962181411,[[-1.56579374]]
"1316.24, 1323.3",[0.00818036],0.4848956468384665,[[0.40601417]]
"1316.24, 1324.02",[0.26522338],0.33465188408608637,[[-0.40774998]]
"1316.24, 1326.33",[0.05259774],0.8499354958532072,[[1.02420392]]
"1316.24, 1327.33",[0.00734725],0.4589562975052739,[[0.28255556]]
"1316.24, 1348.03",[0.28829423],0.4902965736106464,[[-0.49044907]]
"1317.25, 1322.3",[0.07202503],0.4076495554784151,[[0.84462838]]
"1317.25, 1323.02",[0.85007805],0.3131414608852877,[[-3.54129223]]
"1317.25, 1323.3",[0.06344226],0.383257669163094,[[0.85198479]]
"1317.25, 1326.33",[0.18430728],0.42766518549936405,[[2.17115891]]
"1317.25, 1347.02",[0.8499979],0.2693903494984008,[[-3.59003722]]
"1319.44, 1327.33",[0.09316969],0.2650972313330491,[[-0.06720549]]
"1320.28, 1322.3",[0.09906031],0.35493182005741597,[[1.03443041]]
"1320.28, 1323.02",[0.69294752],0.2257482558876942,[[-3.49604641]]
"1320.28, 1324.02",[0.18802103],0.3504797162871558,[[-0.96991933]]
"1320.28, 1348.03",[0.18426856],0.23820155194685944,[[-0.84428169]]
"1321.29, 1324.02",[0.18355993],0.21943490744728122,[[-1.14384257]]
"1321.29, 1326.33",[0.30064428],0.2409842468463643,[[1.23626334]]
"1322.3, 1326.33",[0.11442426],0.47887098826253005,[[1.67020314]]
"1322.3, 1347.02",[0.99214842],0.2710897699662683,[[-3.02310511]]
"1323.02, 1325.04",[-0.00257829],0.34342098343269467,[[0.05374442]]
"1323.02, 1326.33",[0.46588863],0.47570042887209646,[[-0.22741018]]
"1323.02, 1332.24",[0.05962169],0.25001684024065485,[[-0.02646907]]
"1323.3, 1326.33",[0.11294557],0.5408222251893464,[[1.79976384]]
"1323.3, 1347.02",[0.90414082],0.24411761729307171,[[-2.42270561]]
"1324.02, 1326.33",[0.45674728],0.24814390241190276,[[-0.85515755]]
"1324.02, 1339.3",[0.05066313],0.21680129071981713,[[-0.08184225]]
"1324.02, 1340.35",[0.06996831],0.22584798312193166,[[-0.08625667]]
"1325.04, 1347.02",[0.49292844],0.3548738464528248,[[5.92078125]]
"1325.04, 1348.03",[0.14313852],0.24601041877888583,[[1.41539215]]
"1326.33, 1332.24",[-0.00532637],0.2013255540450951,[[0.14202149]]
"1326.33, 1339.3",[0.01510596],0.26387915155975317,[[0.07430377]]
"1326.33, 1348.03",[0.31522315],0.30949230558332974,[[-0.49171931]]
"1326.33, 1349.03",[0.06500726],0.21608037251913845,[[-0.09987778]]
"1332.24, 1347.02",[0.69772086],0.30433191335238097,[[-3.83153219]]
"1335.97, 1347.02",[0.63569877],0.29504449302971736,[[2.04414848]]
"1335.97, 1348.03",[0.17630131],0.21921587192843953,[[0.40308042]]
"1339.3, 1347.02",[0.74914698],0.3367048308809547,[[-6.05245593]]
"1339.3, 1348.03",[0.19771694],0.2133518393068875,[[-1.60243277]]
