,,,lda1,lda2
L0_330,L0,330,-1.132995915,3.878145463
L0_354,L0,354,1.481104796,3.042211148
L0_378,L0,378,-0.022705336,3.422468001
L0_402,L0,402,-0.062673456,3.565631883
L0_426,L0,426,0.114094987,0.270459508
L0_450,L0,450,-0.767424627,1.801808957
L2_330,L2,330,-3.013896401,-0.984285031
L2_354,L2,354,-2.939885379,-1.086147397
L2_378,L2,378,-2.86875515,-1.335329751
L2_402,L2,402,-3.251019179,-0.987432183
L2_426,L2,426,-2.67793964,-1.534468939
L2_450,L2,450,-0.056664643,1.196921251
L5_330,L5,330,3.070505936,-0.93219949
L5_354,L5,354,3.064194662,-0.917259584
L5_378,L5,378,2.90580043,-0.66002247
L5_402,L5,402,3.211395799,-1.038981587
L5_426,L5,426,3.268783595,-1.146248401
L5_450,L5,450,0.043455916,0.430801995
L8_330,L8,330,-0.10158945,-1.427338054
L8_354,L8,354,-0.028912852,-1.620309427
L8_378,L8,378,-0.745881978,0.623842823
L8_402,L8,402,-0.018712941,-1.588311394
L8_426,L8,426,-0.063480312,-1.465957477
L8_450,L8,450,0.593201138,-1.507999845
