,Intercept,Coef
L0_330,-1.6819277108433788,0.7614457831325304
L0_354,-2.6700000000000017,0.8200000000000001
L0_378,-3.1307901907356914,0.8392370572207083
L0_402,-4.642857142857142,0.9523809523809524
L0_426,-0.517711171662123,0.7084468664850135
L0_450,-3.833333333333341,0.9266666666666671
L2_330,12.087926227750375,0.0180141539781257
L2_354,-3.9552238805970106,0.8955223880597012
L2_378,-2.6363636363636367,0.8181818181818182
L2_402,-5.662020905923345,1.0452961672473868
L2_426,-5.460526315789476,1.0263157894736843
L2_450,-0.517711171662123,0.7084468664850135
L5_330,-1.749999999999993,0.7499999999999997
L5_354,-0.6310904872389749,0.7146171693735497
L5_378,-0.32432432432432456,0.7027027027027027
L5_402,-5.662020905923345,1.0452961672473868
L5_426,-0.7142857142857171,0.7142857142857144
L5_450,-0.517711171662123,0.7084468664850135
L8_330,-1.7072243346007667,0.7148288973384034
L8_354,-4.650602409638555,0.9397590361445785
L8_378,-3.4772727272727266,0.8636363636363636
L8_402,-4.531645569620249,0.9873417721518986
L8_426,-5.992395437262353,1.0798479087452468
L8_450,-4.531645569620249,0.9873417721518986
